Formazioni Campionato - Giornata 30;;;;;;;;;;
In verde i fantavoti che portano punteggio alla squadra;;;;;;;;;;
;;;;;;;;;;
OFF;;;;;1-2;PFP;;;;
3511;;;;;;343 (352 dopo le sostituzioni);;;;
Por;Maignan;;6,5;4,5;;Por;Sommer;;5,5;4,5
Dc;Marcandalli;;5;5;;Dc;Pavlovic;;7;9,5
Dc;Solet;;7;6,5;;Dc;Bisseck;;6,5;6,5
Dc;Ostigard;;5,5;5,5;;Dc;Beukema;;6,5;6,5
"W;A";Rodriguez Je.;;6;6;;"Ds;E";Valle;;-;-
"M;C";Thuram K.;;5,5;5,5;;C;Pisilli;;5,5;5
"C;T";McTominay;;7;10;;"M;C";Cristante;;6,5;6,5
"M;C";Matic;;-;-;;"E;W";Saelemaekers;;6;6
"W;A";Diao;;7,5;11,5;;"W;T";Rowe;;5,5;5,5
"W;A";Santos A.;;6;6;;Pc;Krstovic;;6;6
Pc;Pellegrino M.;;5;5;;A;De Ketelaere;;6,5;6,5
Panchina;;;;;;Panchina;;;;
Pc;Pinamonti;;7;10;;A;Nkunku;;5,5;5,5
"T;A";Baldanzi;;5,5;5,5;;A;Laurientè;;6;6
"W;A";Zaragoza;;-;-;;"M;C";Fofana Y.;;7;10
"T;A";Odgaard;;-;-;;"C;T";Gandelman;;5,5;5,5
"C;T";Miretti;;5,5;5,5;;"C;T";Dele-Bashiru;;5,5;5,5
"C;T";Fabbian;;-;-;;"Ds;E";Moreno Alb.;;6,5;7,5
"E;W";Zerbin;;6;6;;E;Parisi;;6;6
"E;M";Tourè I.;;-;-;;E;Gosens;;5,5;5,5
"M;C";Prati;;5,5;5,5;;Dc;Gatti;;-;-
Dc;Romagnoli;;6,5;6,5;;Dc;Gila;;6;6
Dc;Lucumì;;5,5;5,5;;Dc;Hermoso;;7;8
Por;Terracciano;;-;-;;Por;Okoye;;6,5;8,5
TOTALE: 71,00;;;;;;Modificatore difesa;;;;3
Inserita via web il 20-03-2026 18:09:22;;;;;;TOTALE: 75,50;;;;
;;;;;;Inserita via web il 20-03-2026 16:30:12;;;;
;;;;;;;;;;
SAYONARA;;;;;0-1;IL TRONO DI SPIAZE;;;;
352;;;;;;3511;;;;
Por;Ravaglia F.;;6;4;;Por;Milinkovic-Savic V.;;6;7
"B;Dd;E";Celik;;-;-;;Dc;Tomori;;6;5,5
Dc;Akanji;;6;6;;Dc;N'Dicka;;6,5;6,5
Dc;Djimsiti;;6;6;;Dc;Scalvini;;6;6
E;Palestra;;6;6;;E;Cambiaso;;5,5;5,5
"C;T";Zielinski;;5,5;5,5;;"M;C";Ederson D.S.;;6,5;6,5
"M;C";Locatelli;;5;2;;"C;T";Pellegrini Lo.;;6;6
"C;T";Pasalic;;5,5;5,5;;"M;C";Konè I.;;6;6
"W;A";Isaksen;;5,5;5,5;;"W;A";Conceicao;;7;8
Pc;Martinez L.;;-;-;;A;Berardi;;6,5;7,5
Pc;Hojlund;;6;6;;Pc;Kean;;5,5;5
Panchina;;;;;;Panchina;;;;
A;Cambiaghi;;5,5;5,5;;A;Giovane;;-;-
Pc;Orban G.;;5;5;;Pc;Piccoli;;-;-
"W;A";Cancellieri;;6;6;;"M;C";Nicolussi Caviglia;;5,5;5,5
C;Sucic P.;;-;-;;C;Sohm;;5;5
"C;T";Ekkelenkamp;;6,5;9,5;;Dc;Ghilardi;;6;6
"M;C";Freuler;;-;-;;"M;C";Adopo;;5,5;5,5
"Dd;Ds;E";Britschgi;;4,5;4,5;;"Dd;Ds;E";Barbieri;;6;5,5
E;Dodò;;6,5;6,5;;"B;Ds;E";Ahanor;;-;-
"C;T";Akinsanmiro;;5,5;5,5;;"Dd;Ds;E";Marusic;;6;6
Dc;Valenti;;5,5;5;;C;Bernede;;-;-
Dc;Muharemovic;;7;7;;Dc;Mina;;6,5;6,5
Por;Audero;;6;7;;Por;Meret;;-;-
TOTALE: 57,00;;;;;;Modificatore difesa;;;;1
Inserita via app il 20-03-2026 18:26:17;;;;;;TOTALE: 70,50;;;;
;;;;;;Inserita via app il 20-03-2026 18:25:59;;;;
;;;;;;;;;;
ISAMU MARTIRE;;;;;3-2;CRONACHE DI NINUZZO -3;;;;
3421;;;;;;352;;;;
Por;Motta;;7;11;;Por;Butez;;6;7
Dc;Tiago Gabriel;;7;7;;"B;Ds;E";Carlos Augusto;;6;5,5
"Dd;Dc";Kristensen T.;;6,5;6,5;;"Ds;Dc";Vasquez;;6;6
Dc;Kempf;;6,5;6,5;;"Dd;Dc";Kalulu;;6,5;6,5
E;Dumfries;;6;6;;E;Dimarco;;5,5;5
"C;T";Malinovskyi;;6,5;6,5;;"C;T";Caqueret;;6,5;6,5
"M;C";Karlstrom;;6;6;;"M;C";De Roon;;6;6
"E;W";Zalewski;;5,5;5,5;;C;Barella;;6;6,5
A;Malen;;6;6;;W;Politano;;6,5;6,5
"T;A";Pulisic;;6,5;7,5;;Pc;Thuram;;6;6
Pc;Bonny;;5,5;5,5;;Pc;Esposito F.P.;;7;10
Panchina;;;;;;Panchina;;;;
A;Esposito Se.;;6;6;;A;Bonazzoli;;6,5;6,5
"W;T";Elmas;;-;-;;A;Adams C.;;5,5;5,5
"W;A";Bernardeschi;;5,5;5,5;;E;Bellanova;;-;-
Pc;Nzola;;-;-;;"E;W";Kostic;;-;-
"C;T";Casadei;;5,5;5,5;;E;Zortea;;5,5;5,5
"C;T";Koopmeiners;;5,5;5,5;;"M;C";Mandragora;;-;-
"Ds;E";Bartesaghi;;6,5;6,5;;"M;C";Perrone;;7,5;10,5
"Ds;E";Gallo;;5,5;5,5;;"C;T";Thorstvedt;;-;-
"B;Dd;E";Zappa;;-;-;;Dc;Kabasele;;6,5;6,5
Dc;Pongracic;;6;6;;Dc;Coco;;5;5
Dc;Caracciolo A.;;4,5;4,5;;Dc;Bianchetti;;6,5;6,5
Por;Provedel;;-;-;;Por;De Gea;;6,5;5,5
Modificatore difesa;;;;3;;Modificatore difesa;;;;1
TOTALE: 77,00;;;;;;TOTALE: 72,50;;;;
Inserita via app il 20-03-2026 17:54:05;;;;;;Inserita via app il 20-03-2026 15:29:48;;;;
;;;;;;;;;;
SATANIA VERO FIGLIO MINORE;;;;;3-3;CONTRO TUTTI I PRONOSTICI;;;;
3421;;;;;;3421;;;;
Por;Perin;;6,5;5,5;;Por;Svilar;;6;7
"Dd;Dc";De Winter;;5,5;5,5;;"Ds;Dc";Ranieri L.;;6;6
Dc;Circati;;5,5;5,5;;Dc;Buongiorno;;6;6
Dc;Luperto;;6,5;6,5;;Dc;Vitik;;5,5;5,5
E;Zappacosta;;7;10;;"Ds;E";Gutierrez;;6,5;6,5
C;Fagioli;;6,5;6,5;;"C;T";Rabiot;;7;10
"M;C";McKennie;;5,5;5,5;;"M;C";Calhanoglu;;6;6
"W;A";Strefezza;;5;5;;"Ds;E";Spinazzola;;6;6
A;Yildiz;;7;10;;"T;A";Paz N.;;7;10
T;Vlasic;;7;10;;T;De Bruyne;;6;6
Pc;Davis K.;;7;9,5;;Pc;Douvikas;;7;10
Panchina;;;;;;Panchina;;;;
Pc;Scamacca;;-;-;;Por;Gollini;;-;-
A;Raspadori;;5,5;5,5;;Pc;Colombo;;6;5,5
"W;A";Orsolini;;5;2;;Pc;Vlahovic;;6,5;6,5
"C;T";Brescianini;;5,5;5;;"C;T";Frattesi;;6;6
E;Bernasconi;;6;6;;"C;T";Folorunsho;;6;6
"Ds;E";Kamara H.;;6;5,5;;"M;C";Keita M.;;5,5;5,5
Pc;Vitinha O.;;5;5;;Dc;Comuzzo;;-;-
"B;Ds;E";Cabal;;-;-;;Dc;Marianucci;;-;-
Dc;Maripan;;-;-;;"Ds;E";Olivera;;5,5;5
"Dd;Dc";Kossounou;;-;-;;"Dd;E";Ehizibue;;6;6
"B;Dd;E";Calabresi;;-;-;;"Ds;E";Pezzella Giu.;;6,5;6
Por;Di Gregorio;;-;-;;"Ds;Dc";Juan Jesus;;-;-
Modificatore difesa;;;;1;;Modificatore difesa;;;;1
TOTALE: 80,50;;;;;;TOTALE: 80,00;;;;
Inserita via app il 20-03-2026 17:40:09;;;;;;Inserita via app il 20-03-2026 14:58:43;;;;
;;;;;;;;;;
HORTO MUSO FC;;;;;2-1;SQUADRADABBATTERE;;;;
4231;;;;;;3421;;;;
Por;Carnesecchi;;6,5;7,5;;Por;Falcone;;6;5
"Ds;E";Miranda J.;;5,5;5,5;;Dc;Bastoni;;-;-
Dc;Ramon;;-;-;;Dc;Bremer;;5,5;5
Dc;Mancini;;6;6;;"Ds;Dc";Kelly L.;;6;6
"Dd;E";Vojvoda;;-;-;;"Ds;E";Valeri;;5,5;5,5
C;Modric;;6,5;6,5;;"C;T";Thorsby;;-;-
"M;C";Frendrup;;6;6;;"M;C";Zambo Anguissa;;6;6
"T;A";Maldini;;5,5;5,5;;"C;W;T";Da Cunha;;6,5;6,5
T;Baturina;;7;10;;"T;A";Gudmundsson A.;;6;6
"W;A";Boga;;5,5;5,5;;"T;A";Zaniolo;;6,5;7
Pc;Vaz;;7;10;;Pc;Castro S.;;5;4,5
Panchina;;;;;;Panchina;;;;
Por;Sportiello;;-;-;;Pc;Lukaku;;-;-
Pc;Vardy;;6,5;7,5;;Pc;Dallinga;;5,5;5,5
Pc;Simeone;;7;10;;"C;T";Taylor K.;;8;13,5
C;Atta;;5,5;5,5;;W;El Shaarawy;;-;-
"C;W";Ellertsson;;5,5;5,5;;"M;C";Mazzitelli;;-;-
"W;T";Vandeputte;;7;10;;"M;C";Ndour;;7;9,5
"M;C";Lobotka;;6;5,5;;"Ds;E";Martin;;-;-
"Dd;E";Norton-Cuffy;;5,5;5,5;;"B;Ds;E";Kolasinac;;6,5;6,5
"Dd;Ds;E";Terracciano F.;;6;6;;Dc;Idzes;;5,5;5,5
"Ds;E";Angori;;5;4,5;;"Dd;Dc";Walukiewicz;;5,5;5,5
Dc;Diego Carlos;;6,5;6,5;;A;Pedro;;6;6
Dc;Ismajli;;5,5;5,5;;Por;Caprile;;6,5;5,5
Modificatore difesa;;;;1;;TOTALE: 71,50;;;;
TOTALE: 75,50;;;;;;Inserita via app il 20-03-2026 12:20:21;;;;
Inserita via app il 20-03-2026 13:19:40;;;;;;;;;;