# Player;Stats
1   David de Gea Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/182917/david-de-gea)
1   Elia Caprile Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/958422/elia-caprile)
1   Jean Butez Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/560939/jean-butez)
1   Marco Carnesecchi Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/1013021/marco-carnesecchi)
1   Mile Svilar Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/768474/mile-svilar)
1   Wladimiro Falcone Total matches : 30;2,700 (https://www.fotmob.com/en-GB/players/362200/wladimiro-falcone)
7   Johan Vásquez Total matches : 30;2,677 (https://www.fotmob.com/en-GB/players/914103/johan-vasquez)
8   Jesper Karlström Total matches : 30;2,643 (https://www.fotmob.com/en-GB/players/322003/jesper-karlstrom)
9   Arijanet Muric Total matches : 29;2,610 (https://www.fotmob.com/en-GB/players/760752/arijanet-muric)
10   Jay Idzes Total matches : 29;2,609 (https://www.fotmob.com/en-GB/players/937412/jay-idzes)
11   Victor Nelsson Total matches : 30;2,596 (https://www.fotmob.com/en-GB/players/776594/victor-nelsson)
12   Tiago Gabriel Total matches : 30;2,590 (https://www.fotmob.com/en-GB/players/1574492/tiago-gabriel)
13   Mike Maignan Total matches : 29;2,576 (https://www.fotmob.com/en-GB/players/466439/mike-maignan)
14   Pierre Kalulu Total matches : 29;2,562 (https://www.fotmob.com/en-GB/players/1131217/pierre-kalulu)
15   Gianluca Mancini Total matches : 29;2,536 (https://www.fotmob.com/en-GB/players/588687/gianluca-mancini)
16   Ylber Ramadani Total matches : 29;2,522 (https://www.fotmob.com/en-GB/players/762028/ylber-ramadani)
17   Yann Sommer Total matches : 28;2,520 (https://www.fotmob.com/en-GB/players/41618/yann-sommer)
18   Marco Palestra Total matches : 29;2,511 (https://www.fotmob.com/en-GB/players/1473806/marco-palestra)
19   Dodô Total matches : 29;2,509 (https://www.fotmob.com/en-GB/players/750734/dodo)
20   Mateo Pellegrino Total matches : 30;2,482 (https://www.fotmob.com/en-GB/players/1224237/mateo-pellegrino)
21   Simone Canestrelli Total matches : 29;2,481 (https://www.fotmob.com/en-GB/players/897315/simone-canestrelli)
22   Antonino Gallo Total matches : 30;2,478 (https://www.fotmob.com/en-GB/players/879065/antonino-gallo)
23   Marin Pongracic Total matches : 28;2,470 (https://www.fotmob.com/en-GB/players/831474/marin-pongracic)
24   Morten Frendrup Total matches : 29;2,466 (https://www.fotmob.com/en-GB/players/921543/morten-frendrup)
25   Luka Modric Total matches : 29;2,456 (https://www.fotmob.com/en-GB/players/31097/luka-modric)
26   Antonio Caracciolo Total matches : 28;2,444 (https://www.fotmob.com/en-GB/players/195416/antonio-caracciolo)
27   Ivan Provedel Total matches : 27;2,430 (https://www.fotmob.com/en-GB/players/364822/ivan-provedel)
27   Lorenzo Montipò Total matches : 27;2,430 (https://www.fotmob.com/en-GB/players/491784/lorenzo-montipo)
27   Saúl Coco Total matches : 27;2,430 (https://www.fotmob.com/en-GB/players/941953/saul-coco)
30   Bryan Cristante Total matches : 29;2,414 (https://www.fotmob.com/en-GB/players/299799/bryan-cristante)
31   Kenan Yildiz Total matches : 29;2,401 (https://www.fotmob.com/en-GB/players/1412132/kenan-yildiz)
32   Adam Marusic Total matches : 28;2,390 (https://www.fotmob.com/en-GB/players/478447/adam-marusic)
33   Michel Ndary Adopo Total matches : 30;2,388 (https://www.fotmob.com/en-GB/players/936164/michel-ndary-adopo)
34   Nico Paz Total matches : 29;2,387 (https://www.fotmob.com/en-GB/players/1347574/nico-paz)
35   Manuel Akanji Total matches : 28;2,370 (https://www.fotmob.com/en-GB/players/521318/manuel-akanji)
36   Danilo Veiga Total matches : 28;2,350 (https://www.fotmob.com/en-GB/players/1306664/danilo-veiga)
37   Enrico Del Prato Total matches : 28;2,348 (https://www.fotmob.com/en-GB/players/935380/enrico-del-prato)
38   Nikola Vlasic Total matches : 29;2,347 (https://www.fotmob.com/en-GB/players/557677/nikola-vlasic)
39   Emil Audero Total matches : 26;2,340 (https://www.fotmob.com/en-GB/players/602845/emil-audero)
40   Mandela Keita Total matches : 29;2,338 (https://www.fotmob.com/en-GB/players/1239749/mandela-keita)
41   Sebastian Walukiewicz Total matches : 28;2,338 (https://www.fotmob.com/en-GB/players/860592/sebastian-walukiewicz)
42   Sebastiano Luperto Total matches : 26;2,337 (https://www.fotmob.com/en-GB/players/604330/sebastiano-luperto)
43   Filippo Terracciano Total matches : 28;2,316 (https://www.fotmob.com/en-GB/players/1163501/filippo-terracciano)
44   Kouadio Koné Total matches : 26;2,302 (https://www.fotmob.com/en-GB/players/1016132/kouadio-kone)
45   Michel Aebischer Total matches : 28;2,299 (https://www.fotmob.com/en-GB/players/792756/michel-aebischer)
46   Lloyd Kelly Total matches : 27;2,297 (https://www.fotmob.com/en-GB/players/819215/lloyd-kelly)
47   Tarik Muharemovic Total matches : 26;2,295 (https://www.fotmob.com/en-GB/players/1250485/tarik-muharemovic)
48   Alexis Saelemaekers Total matches : 28;2,289 (https://www.fotmob.com/en-GB/players/921341/alexis-saelemaekers)
49   Manuel Locatelli Total matches : 28;2,284 (https://www.fotmob.com/en-GB/players/624166/manuel-locatelli)
50   Federico Baschirotto Total matches : 25;2,250 (https://www.fotmob.com/en-GB/players/799230/federico-baschirotto)
51   Jacobo Ramón Total matches : 26;2,248 (https://www.fotmob.com/en-GB/players/1413963/jacobo-ramon)
52   Oumar Solet Total matches : 27;2,241 (https://www.fotmob.com/en-GB/players/866708/oumar-solet)
53   Federico Dimarco Total matches : 28;2,232 (https://www.fotmob.com/en-GB/players/605224/federico-dimarco)
54   Mario Gila Total matches : 27;2,229 (https://www.fotmob.com/en-GB/players/1106074/mario-gila)
55   Weston McKennie Total matches : 29;2,215 (https://www.fotmob.com/en-GB/players/848266/weston-mckennie)
56   Andrea Cambiaso Total matches : 28;2,191 (https://www.fotmob.com/en-GB/players/1078846/andrea-cambiaso)
57   Nemanja Matic Total matches : 26;2,189 (https://www.fotmob.com/en-GB/players/115067/nemanja-matic)
58   Mikael Egill Ellertsson Total matches : 29;2,184 (https://www.fotmob.com/en-GB/players/942193/mikael-egill-ellertsson)
59   Brooke Norton-Cuffy Total matches : 26;2,184 (https://www.fotmob.com/en-GB/players/1214915/brooke-norton-cuffy)
59   Rasmus Højlund Total matches : 26;2,184 (https://www.fotmob.com/en-GB/players/1199272/rasmus-hojlund)
61   Ismaël Koné Total matches : 27;2,182 (https://www.fotmob.com/en-GB/players/1288119/ismael-kone)
62   Strahinja Pavlovic Total matches : 26;2,150 (https://www.fotmob.com/en-GB/players/1048023/strahinja-pavlovic)
63   Máximo Perrone Total matches : 28;2,148 (https://www.fotmob.com/en-GB/players/1336582/maximo-perrone)
64   Fikayo Tomori Total matches : 27;2,140 (https://www.fotmob.com/en-GB/players/749662/fikayo-tomori)
65   Adrián Bernabé Total matches : 27;2,127 (https://www.fotmob.com/en-GB/players/951714/adrian-bernabe)
66   Andrea Pinamonti Total matches : 28;2,122 (https://www.fotmob.com/en-GB/players/750030/andrea-pinamonti)
67   Wesley Total matches : 26;2,117 (https://www.fotmob.com/en-GB/players/1320176/wesley)
68   Evan N'Dicka Total matches : 24;2,106 (https://www.fotmob.com/en-GB/players/787242/evan-ndicka)
69   Marten de Roon Total matches : 26;2,096 (https://www.fotmob.com/en-GB/players/198559/marten-de-roon)
70   Lucas Da Cunha Total matches : 28;2,095 (https://www.fotmob.com/en-GB/players/1076647/lucas-da-cunha)
71   Leo Østigard Total matches : 24;2,083 (https://www.fotmob.com/en-GB/players/740944/leo-ostigard)
72   Zeki Çelik Total matches : 26;2,082 (https://www.fotmob.com/en-GB/players/867225/zeki-celik)
73   Adam Obert Total matches : 27;2,078 (https://www.fotmob.com/en-GB/players/1289961/adam-obert)
74   Nicolò Fagioli Total matches : 27;2,076 (https://www.fotmob.com/en-GB/players/951712/nicolo-fagioli)
75   Scott McTominay Total matches : 25;2,073 (https://www.fotmob.com/en-GB/players/843099/scott-mctominay)
76   Michele Di Gregorio Total matches : 23;2,070 (https://www.fotmob.com/en-GB/players/766062/michele-di-gregorio)
77   Alessio Romagnoli Total matches : 25;2,068 (https://www.fotmob.com/en-GB/players/362195/alessio-romagnoli)
78   Valentino Lazaro Total matches : 27;2,048 (https://www.fotmob.com/en-GB/players/321140/valentino-lazaro)
79   Lassana Coulibaly Total matches : 25;2,043 (https://www.fotmob.com/en-GB/players/664587/lassana-coulibaly)
80   Sebastiano Esposito Total matches : 28;2,042 (https://www.fotmob.com/en-GB/players/1030212/sebastiano-esposito)
81   Khéphren Thuram-Ulien Total matches : 28;2,040 (https://www.fotmob.com/en-GB/players/980793/khephren-thuram-ulien)
82   Emanuele Valeri Total matches : 26;2,031 (https://www.fotmob.com/en-GB/players/867789/emanuele-valeri)
83   Guillermo Maripán Total matches : 24;2,026 (https://www.fotmob.com/en-GB/players/402830/guillermo-maripan)
84   Berat Djimsiti Total matches : 27;2,017 (https://www.fotmob.com/en-GB/players/260964/berat-djimsiti)
85   Alessandro Bastoni Total matches : 24;2,016 (https://www.fotmob.com/en-GB/players/805451/alessandro-bastoni)
86   Giovanni Di Lorenzo Total matches : 23;2,010 (https://www.fotmob.com/en-GB/players/414906/giovanni-di-lorenzo)
87   Davide Zappacosta Total matches : 27;2,005 (https://www.fotmob.com/en-GB/players/244811/davide-zappacosta)
88   Rolando Mandragora Total matches : 28;2,003 (https://www.fotmob.com/en-GB/players/577911/rolando-mandragora)
89   Nicolò Barella Total matches : 27;1,998 (https://www.fotmob.com/en-GB/players/541820/nicolo-barella)
90   Idrissa Touré Total matches : 25;1,992 (https://www.fotmob.com/en-GB/players/731600/idrissa-toure)
91   Matteo Gabbia Total matches : 24;1,991 (https://www.fotmob.com/en-GB/players/844996/matteo-gabbia)
92   Ruslan Malinovsky Total matches : 28;1,980 (https://www.fotmob.com/en-GB/players/459658/ruslan-malinovsky)
93   Moise Kean Total matches : 25;1,965 (https://www.fotmob.com/en-GB/players/747926/moise-kean)
94   Armand Laurienté Total matches : 30;1,950 (https://www.fotmob.com/en-GB/players/935769/armand-lauriente)
95   Mattia Zaccagni Total matches : 23;1,948 (https://www.fotmob.com/en-GB/players/541555/mattia-zaccagni)
96   Samuele Angori Total matches : 27;1,947 (https://www.fotmob.com/en-GB/players/1289942/samuele-angori)
97   Alessandro Circati Total matches : 23;1,946 (https://www.fotmob.com/en-GB/players/1318686/alessandro-circati)
98   Santiago Pierotti Total matches : 29;1,923 (https://www.fotmob.com/en-GB/players/1039403/santiago-pierotti)
99   Alessandro Buongiorno Total matches : 26;1,920 (https://www.fotmob.com/en-GB/players/823018/alessandro-buongiorno)
100   Lautaro Martínez Total matches : 25;1,905 (https://www.fotmob.com/en-GB/players/690230/lautaro-martinez)
101   Sascha Britschgi Total matches : 25;1,903 (https://www.fotmob.com/en-GB/players/1693531/sascha-britschgi)
102   Giuseppe Pezzella Total matches : 23;1,902 (https://www.fotmob.com/en-GB/players/670928/giuseppe-pezzella)
103   Juan Miranda Total matches : 24;1,898 (https://www.fotmob.com/en-GB/players/873956/juan-miranda)
104   Maduka Okoye Total matches : 22;1,897 (https://www.fotmob.com/en-GB/players/1091193/maduka-okoye)
105   Alessandro Marcandalli Total matches : 24;1,894 (https://www.fotmob.com/en-GB/players/1436436/alessandro-marcandalli)
106   Torbjørn Heggem Total matches : 22;1,894 (https://www.fotmob.com/en-GB/players/935550/torbjorn-heggem)
107   Alberto Paleari Total matches : 21;1,890 (https://www.fotmob.com/en-GB/players/415137/alberto-paleari)
107   Vanja Milinkovic-Savic Total matches : 21;1,890 (https://www.fotmob.com/en-GB/players/543021/vanja-milinkovic-savic)
109   Albert Gudmundsson Total matches : 26;1,872 (https://www.fotmob.com/en-GB/players/665188/albert-gudmundsson)
110   Davide Bartesaghi Total matches : 24;1,867 (https://www.fotmob.com/en-GB/players/1385856/davide-bartesaghi)
111   Luca Ranieri Total matches : 27;1,859 (https://www.fotmob.com/en-GB/players/935406/luca-ranieri)
112   Arthur Atta Total matches : 24;1,854 (https://www.fotmob.com/en-GB/players/1428426/arthur-atta)
113   Gift Orban Total matches : 25;1,849 (https://www.fotmob.com/en-GB/players/1368557/gift-orban)
114   Stanislav Lobotka Total matches : 24;1,845 (https://www.fotmob.com/en-GB/players/308517/stanislav-lobotka)
115   Danilo Cataldi Total matches : 25;1,841 (https://www.fotmob.com/en-GB/players/362120/danilo-cataldi)
116   Federico Bonazzoli Total matches : 27;1,838 (https://www.fotmob.com/en-GB/players/543306/federico-bonazzoli)
117   Lorenzo Colombo Total matches : 30;1,837 (https://www.fotmob.com/en-GB/players/1050163/lorenzo-colombo)
118   Lautaro Valenti Total matches : 22;1,830 (https://www.fotmob.com/en-GB/players/968029/lautaro-valenti)
119   Adrien Rabiot Total matches : 21;1,830 (https://www.fotmob.com/en-GB/players/352879/adrien-rabiot)
120   Kialonda Gaspar Total matches : 22;1,829 (https://www.fotmob.com/en-GB/players/1206806/kialonda-gaspar)
121   Jamie Vardy Total matches : 25;1,828 (https://www.fotmob.com/en-GB/players/286119/jamie-vardy)
122   Keinan Davis Total matches : 26;1,827 (https://www.fotmob.com/en-GB/players/724368/keinan-davis)
123   Martin Frese Total matches : 24;1,817 (https://www.fotmob.com/en-GB/players/824623/martin-frese)
124   Jurgen Ekkelenkamp Total matches : 26;1,816 (https://www.fotmob.com/en-GB/players/934156/jurgen-ekkelenkamp)
125   Antoine Bernede Total matches : 25;1,815 (https://www.fotmob.com/en-GB/players/767013/antoine-bernede)
126   Aarón Martín Total matches : 26;1,810 (https://www.fotmob.com/en-GB/players/684981/aaron-martin)
127   Thomas Kristensen Total matches : 20;1,795 (https://www.fotmob.com/en-GB/players/1190029/thomas-kristensen)
128   Santiago Castro Total matches : 27;1,793 (https://www.fotmob.com/en-GB/players/1282008/santiago-castro)
129   Domagoj Bradaric Total matches : 23;1,792 (https://www.fotmob.com/en-GB/players/921594/domagoj-bradaric)
130   Matteo Bianchetti Total matches : 22;1,768 (https://www.fotmob.com/en-GB/players/279820/matteo-bianchetti)
131   Nicolò Zaniolo Total matches : 26;1,765 (https://www.fotmob.com/en-GB/players/818893/nicolo-zaniolo)
132   Josh Doig Total matches : 28;1,763 (https://www.fotmob.com/en-GB/players/1130330/josh-doig)
133   Marc-Oliver Kempf Total matches : 27;1,758 (https://www.fotmob.com/en-GB/players/355356/marc-oliver-kempf)
134   Isak Hien Total matches : 25;1,752 (https://www.fotmob.com/en-GB/players/939780/isak-hien)
135   Youssouf Fofana Total matches : 25;1,747 (https://www.fotmob.com/en-GB/players/954621/youssouf-fofana)
136   Matteo Politano Total matches : 27;1,739 (https://www.fotmob.com/en-GB/players/415539/matteo-politano)
137   Oliver Sørensen Total matches : 28;1,738 (https://www.fotmob.com/en-GB/players/1097009/oliver-sorensen)
138   Kristian Thorstvedt Total matches : 24;1,738 (https://www.fotmob.com/en-GB/players/921921/kristian-thorstvedt)
139   Christian Kabasele Total matches : 23;1,722 (https://www.fotmob.com/en-GB/players/149219/christian-kabasele)
140   Stefano Moreo Total matches : 29;1,716 (https://www.fotmob.com/en-GB/players/506776/stefano-moreo)
141   Nicola Leali Total matches : 20;1,713 (https://www.fotmob.com/en-GB/players/213299/nicola-leali)
142   Vítinha Total matches : 28;1,709 (https://www.fotmob.com/en-GB/players/1215057/vitinha)
143   Marcus Holmgren Pedersen Total matches : 23;1,695 (https://www.fotmob.com/en-GB/players/935622/marcus-holmgren-pedersen)
144   Riccardo Orsolini Total matches : 28;1,691 (https://www.fotmob.com/en-GB/players/661761/riccardo-orsolini)
145   Matias Soulé Total matches : 25;1,691 (https://www.fotmob.com/en-GB/players/1280082/matias-soule)
146   Éderson Total matches : 23;1,688 (https://www.fotmob.com/en-GB/players/957203/ederson)
147   Anastasios Douvikas Total matches : 30;1,668 (https://www.fotmob.com/en-GB/players/873270/anastasios-douvikas)
148   Jhon Lucumí Total matches : 22;1,657 (https://www.fotmob.com/en-GB/players/860913/jhon-lucumi)
149   Álex Valle Total matches : 23;1,649 (https://www.fotmob.com/en-GB/players/1384881/alex-valle)
150   Giovane Nascimento Total matches : 28;1,647 (https://www.fotmob.com/en-GB/players/1355574/giovane-nascimento)
151   Nicolò Bertola Total matches : 24;1,644 (https://www.fotmob.com/en-GB/players/1258292/nicolo-bertola)
152   Charles De Ketelaere Total matches : 23;1,637 (https://www.fotmob.com/en-GB/players/1095432/charles-de-ketelaere)
153   Matteo Prati Total matches : 27;1,632 (https://www.fotmob.com/en-GB/players/1396089/matteo-prati)
154   Mario Pasalic Total matches : 25;1,629 (https://www.fotmob.com/en-GB/players/446266/mario-pasalic)
155   Cesare Casadei Total matches : 26;1,626 (https://www.fotmob.com/en-GB/players/1339372/cesare-casadei)
156   Piotr Zielinski Total matches : 27;1,624 (https://www.fotmob.com/en-GB/players/362212/piotr-zielinski)
157   Teun Koopmeiners Total matches : 27;1,616 (https://www.fotmob.com/en-GB/players/866516/teun-koopmeiners)
158   Roberto Gagliardini Total matches : 22;1,593 (https://www.fotmob.com/en-GB/players/485634/roberto-gagliardini)
159   Nadir Zortea Total matches : 25;1,589 (https://www.fotmob.com/en-GB/players/1080669/nadir-zortea)
160   Giovanni Simeone Total matches : 24;1,589 (https://www.fotmob.com/en-GB/players/469615/giovanni-simeone)
161   Michael Folorunsho Total matches : 20;1,587 (https://www.fotmob.com/en-GB/players/822440/michael-folorunsho)
162   Domenico Berardi Total matches : 20;1,585 (https://www.fotmob.com/en-GB/players/364520/domenico-berardi)
163   Jari Vandeputte Total matches : 25;1,581 (https://www.fotmob.com/en-GB/players/466113/jari-vandeputte)
164   Leonardo Spinazzola Total matches : 26;1,579 (https://www.fotmob.com/en-GB/players/215242/leonardo-spinazzola)
165   Ché Adams Total matches : 27;1,571 (https://www.fotmob.com/en-GB/players/599353/che-adams)
166   Diego Carlos Total matches : 21;1,568 (https://www.fotmob.com/en-GB/players/570434/diego-carlos)
167   Yann Aurel Bisseck Total matches : 19;1,565 (https://www.fotmob.com/en-GB/players/889535/yann-aurel-bisseck)
168   Jesús Rodríguez Total matches : 26;1,548 (https://www.fotmob.com/en-GB/players/1624039/jesus-rodriguez)
169   Ardian Ismajli Total matches : 21;1,547 (https://www.fotmob.com/en-GB/players/750880/ardian-ismajli)
170   Koni De Winter Total matches : 22;1,546 (https://www.fotmob.com/en-GB/players/1200630/koni-de-winter)
171   Gleison Bremer Total matches : 19;1,545 (https://www.fotmob.com/en-GB/players/857269/gleison-bremer)
172   Eljif Elmas Total matches : 26;1,542 (https://www.fotmob.com/en-GB/players/741049/eljif-elmas)
173   Nikola Stulic Total matches : 28;1,530 (https://www.fotmob.com/en-GB/players/1178314/nikola-stulic)
174   Adrian Semper Total matches : 17;1,530 (https://www.fotmob.com/en-GB/players/747079/adrian-semper)
175   Yerry Mina Total matches : 19;1,523 (https://www.fotmob.com/en-GB/players/496042/yerry-mina)
176   Remo Freuler Total matches : 21;1,521 (https://www.fotmob.com/en-GB/players/201704/remo-freuler)
177   Juan Jesus Total matches : 21;1,503 (https://www.fotmob.com/en-GB/players/197352/juan-jesus)
178   Rafael Leão Total matches : 22;1,492 (https://www.fotmob.com/en-GB/players/848844/rafael-leao)
179   Tommaso Barbieri Total matches : 22;1,489 (https://www.fotmob.com/en-GB/players/1072056/tommaso-barbieri)
180   Francisco Conceição Total matches : 23;1,482 (https://www.fotmob.com/en-GB/players/1185336/francisco-conceicao)
181   Warren Bondo Total matches : 22;1,482 (https://www.fotmob.com/en-GB/players/1209987/warren-bondo)
182   Marcus Thuram Total matches : 23;1,479 (https://www.fotmob.com/en-GB/players/621562/marcus-thuram)
183   Nicola Zalewski Total matches : 26;1,466 (https://www.fotmob.com/en-GB/players/1053714/nicola-zalewski)
